ISOV;;;;;;;;;;
;height/width;78;98;118;140;160;;;;
;55;775;830;;;;;;;
;66;;876;916;1007;;;;;
;78;;916;977;1077;1218;;;;
;94;;;1147;1230;1370;;;;
;114;;;1230;1370;;;;;
;134;;1230;;;;;;;
;;;;;;;;;;
glazingCorectionWidth;;145;;;;;;;;
glazingCorectionHeight;;142;;;;;;;;
;;;;;;;;;;
field;;defaultSetting;price;supplement;exclusions;namePL;nameEN;nameDE;nameFR;nameIT
material;wood;1;0;0;;drewno;wood;Holz;bois;legna
openingType;cenrtePivot;1;0;0;;obrotowe;centre pivot;schwenken;pivotant;girevole
dimensions;maxWidth;78;0;0;;134;134;134;134;134
dimensions;minWidth;0;0;0;;55;55;55;55;55
dimensions;maxHeight;118;0;0;;160;160;160;160;160
dimensions;minHeight;0;0;0;;78;78;78;78;78
dimensions;fixedHeight;0;0;0;;x;x;x;x;x
dimensions;maxSurfaceTriple;0;0;0;;1,51;1,51;1,51;1,51;1,51
innerColor;natural;1;0;0;;naturlane drewno;natural wood;Naturholz;1;1
innerColor;white;0;300;0;;malowane na bia³o;white painted;weiß gestrichen;1;1
outerColor;RALPalette - JSON;7022;500;0;;fileName;fileName;fileName;fileName;fileName
glazing;doubleglazed;1;0;0;;dwuszybowy;double glazing;doppelt verglast;double vitrage;doppi vetri
glazing;tripleglazed;0;600;0;;trzyszybowy;triple glazing;dreifach verglast;triple vitrage;tripli vetri
coats;toughenedOuter;1;0;0;;zewnêtrzna szyba hartowana;outer toughened glass;externes gehärtetes Glas;verre trempé extérieur;vetro temperato esterno
coats;toughenedInner;0;200;0;;wewnêtrzna szyba hartowana;inner toughened glass;internes gehärtetes Glas;verre intérieur trempé;vetro interno temperato
coats;sunGuard;0;1000;0;;pow³oka SunGuard;SunGuard coat;SunGuard Schale;coquille SunGuard;conchiglia SunGuard
coats;bioClean;0;300;0;;pow³oka BioClean;BioClean coat;BioClean Schale;coquille BioClean;conchiglia BioClean
coats;mat;0;100;0;;szyba matowa;mat glass;gefrorenes Glas;verre gelé;vetro smerigliato
coats;soundReduction;0;500;0;;redukcja ha³asu;sound reduction;Lärmreduzierung;réduction de bruit;riduzione del rumore
coats;safetyLaminateP1;0;350;0;;szyba laminowana P1;laminated glass P1;Verbundglas P1;verre feuilleté P1;vetro stratificato P1
coats;safetyLaminateP2;0;450;0;;szyba laminowana P2;laminated glass P2;Verbundglas P2;verre feuilleté P2;vetro stratificato P2
coats;safetyLaminateP4;0;550;0;;szyba laminowana P4;laminated glass P4;Verbundglas P4;verre feuilleté P3;vetro stratificato P3
extras;handleSecureWhite;0;0;0;;ExtraSecure kolor bia³y;ExtraSecure color white;ExtraSecure Farbe Weiß;ExtraSecure couleur blanc;ExtraSecure colore blanc
extras;handleUnoWhite;0;0;0;;UNO kolor bia³y;UNO color white;UNO Farbe Weiß;UNO couleur blanc;UNO colore blanc
extras;handleSecure7048;1;0;0;;ExtraSecure kolor RAL7048;ExtraSecure color RAL7048;ExtraSecure Farbe RAL7048;ExtraSecure couleur RAL7048;ExtraSecure colore RAL7048
extras;handleUno7048;0;0;0;;UNO kolor RAL7048;UNO color RAL7048;UNO Farbe RAL7048;UNO couleur RAL7048;UNO colore RAL7048
extras;solarMotor;0;1000;0;;napêd solarny;solar drive;Solarantrieb;entraînement solaire;azionamento solare
extras;ventilationNeoVent;1;0;0;;nawiewnik NeoVent;ventilation NeoVent;Belüftung NeoVent;ventilateur NeoVent;ventilazione NeoVent
extras;ventilationNeoCover;0;0;0;;maskownica brak wentylacji;cover - no-ventilation;Abdeckung - keine Belüftung;grill - pas de ventilation;cornice di mascheratura - nessuna ventilazione
extras;noVentilation;0;200;0;;brak wentylacji;no-ventilation;mangelnde Belüftung;manque de ventilation;mancanza di ventilazione
extras;hardware;0;0;0;;0;0;0;0;0
extras;AKP;0;125;0;;AKP;AKP;AKP;AKP;AKP
extras;UTB;0;175;0;;UTB;UTB;UTB;UTB;UTB
